ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered,tot_enrollment_sch,teacher_fte,prop_frl_sch,re_amind_sch,re_asian_sch,re_black_sch,re_hisp_sch,re_missing_sch,re_multi_sch,re_nathi_sch,re_white_sch,prop_gen_female_sch,prop_gen_miss_sch
410001501588,OR,45.103415,-122.89458800000001,41420,2017-2018,1,41047,Marion County,41,OREGON,Samuel Brown Academy,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000004024,Open,Alternative School,No,No,No,36,1.20,0.7222222222222222,0,0,0,0.6944444444444444,0,0.027777777777777776,0,0.2777777777777778,0.3611111111111111,0
410001501588,OR,45.105469,-122.897251,41420,2014-2015,1,41047,Marion County,41,OREGON,Samuel Brown Academy,Gervais SD 1,00000000002137,4100015,00000000000000004024,Open,Alternative Education School,No,No,N,62,2.40,0.7258064516129032,0.016129032258064516,0.016129032258064516,0,0.6290322580645161,0,0.03225806451612903,0,0.3064516129032258,0.46774193548387094,NA
410001501588,OR,45.105597,-122.89677300000001,41420,2016-2017,1,41047,Marion County,41,OREGON,Samuel Brown Academy,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000004024,Open,Alternative School,No,No,No,46,1.34,0.717391304347826,0,0,0,0.5652173913043478,0,0.06521739130434782,0,0.3695652173913043,0.391304347826087,0
410001501588,OR,45.105597,-122.896773,41420,2015-2016,1,41047,Marion County,41,OREGON,Samuel Brown Academy,Gervais SD 1,00000000002137,4100015,00000000002137-00000000000000004024,Open,Alternative Education School,No,No,No,47,1.85,0.723404255319149,0,0.02127659574468085,0.02127659574468085,0.6382978723404256,0,0.06382978723404255,0,0.2553191489361702,0.46808510638297873,NA
410001501859,OR,45.105344,-122.897074,41420,2017-2018,1,41047,Marion County,41,OREGON,Frontier Charter Academy,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000005392,New,Regular School,No,Yes,No,136,5.90,NA,0.007352941176470588,0.029411764705882353,0.007352941176470588,0.09558823529411764,0,0.07352941176470588,0,0.7867647058823529,0.47794117647058826,0
410001601266,OR,45.290958,-123.17292800000001,38900,2016-2017,1,41071,Yamhill County,41,OREGON,Yamhill Carlton Elementary School,Yamhill Carlton SD 1,OR-00000000002251,4100016,OR-00000000002251-00000000000000001213,Open,Regular School,No,No,No,379,16.50,0.43799472295514513,0.002638522427440633,0.002638522427440633,0.005277044854881266,0.079155672823219,0,0.04221635883905013,0,0.8680738786279684,0.48284960422163586,0
410001601266,OR,45.290958,-123.17292800000001,38900,2017-2018,1,41071,Yamhill County,41,OREGON,Yamhill Carlton Elementary School,Yamhill Carlton SD 1,OR-00000000002251,4100016,OR-00000000002251-00000000000000001213,Open,Regular School,No,No,No,374,16.01,0.41711229946524064,0,0.00267379679144385,0.0053475935828877,0.0855614973262032,0,0.053475935828877004,0,0.8529411764705882,0.4786096256684492,0
410001601266,OR,45.290958,-123.172928,38900,2014-2015,1,41071,Yamhill County,41,OREGON,Yamhill Carlton Elementary School,Yamhill Carlton SD 1,00000000002251,4100016,00000000000000001213,Open,Regular School,No,No,N,408,18.20,0.4215686274509804,0,0.012254901960784314,0.00980392156862745,0.10049019607843138,0,0.024509803921568627,0.0024509803921568627,0.8504901960784313,0.47549019607843135,NA
410001601266,OR,45.290958,-123.172928,38900,2015-2016,1,41071,Yamhill County,41,OREGON,Yamhill Carlton Elementary School,Yamhill Carlton SD 1,00000000002251,4100016,00000000002251-00000000000000001213,Open,Regular School,No,No,No,390,18.2,0.4666666666666667,0,0.010256410256410256,0.007692307692307693,0.09743589743589744,0,0.046153846153846156,0,0.8384615384615385,0.5230769230769231,NA
410001601288,OR,45.343258,-123.18697300000001,38900,2016-2017,1,41071,Yamhill County,41,OREGON,Yamhill Carlton High School,Yamhill Carlton SD 1,OR-00000000002251,4100016,OR-00000000002251-00000000000000001238,Open,Regular School,No,No,No,319,16.00,0.3981191222570533,0,0.01567398119122257,0.003134796238244514,0.0877742946708464,0,0.034482758620689655,0.003134796238244514,0.8557993730407524,0.45454545454545453,0
410001601288,OR,45.343258,-123.18697300000001,38900,2017-2018,1,41071,Yamhill County,41,OREGON,Yamhill Carlton High School,Yamhill Carlton SD 1,OR-00000000002251,4100016,OR-00000000002251-00000000000000001238,Open,Regular School,No,No,No,307,16.17,0.3583061889250814,0,0.006514657980456026,0.003257328990228013,0.08794788273615635,0,0.048859934853420196,0.006514657980456026,0.8469055374592834,0.4723127035830619,0
410001601288,OR,45.343258,-123.186973,38900,2014-2015,1,41071,Yamhill County,41,OREGON,Yamhill Carlton High School,Yamhill Carlton SD 1,00000000002251,4100016,00000000000000001238,Open,Regular School,No,No,N,409,16.63,0.31784841075794623,0.004889975550122249,0.017114914425427872,0.0024449877750611247,0.08801955990220049,0,0.02689486552567237,0.007334963325183374,0.8533007334963325,0.41075794621026895,NA
410001601288,OR,45.343258,-123.186973,38900,2015-2016,1,41071,Yamhill County,41,OREGON,Yamhill Carlton High School,Yamhill Carlton SD 1,00000000002251,4100016,00000000002251-00000000000000001238,Open,Regular School,No,No,No,352,16.55,0.38636363636363635,0.008522727272727272,0.011363636363636364,0,0.08522727272727272,0,0.03409090909090909,0.002840909090909091,0.8579545454545454,0.42613636363636365,NA
410001601730,OR,45.341875,-123.18577300000001,38900,2016-2017,1,41071,Yamhill County,41,OREGON,Yamhill Carlton Intermediate School,Yamhill Carlton SD 1,OR-00000000002251,4100016,OR-00000000002251-00000000000000004564,Open,Regular School,No,No,No,329,17.00,0.44680851063829785,0,0.0121580547112462,0.0060790273556231,0.10638297872340426,0,0.030395136778115502,0,0.8449848024316109,0.47416413373860183,0
410001601730,OR,45.341875,-123.18577300000001,38900,2017-2018,1,41071,Yamhill County,41,OREGON,Yamhill Carlton Intermediate School,Yamhill Carlton SD 1,OR-00000000002251,4100016,OR-00000000002251-00000000000000004564,Open,Regular School,No,No,No,319,16.17,0.44200626959247646,0.006269592476489028,0.009404388714733543,0.009404388714733543,0.11285266457680251,0,0.0219435736677116,0,0.8401253918495298,0.49216300940438873,0
