"","GEOID","NAME","county","avg_hh_inc_quint_2ndlow_trc","avg_hh_inc_quint_3rdlow_trc","avg_hh_inc_quint_4thlow_trc","avg_hh_inc_quint_lowest_trc","avg_hh_inc_quint_top_trc","avg_hh_inc_vent_top_trc","est_tot_transp2work","gini_trc","hh_noworker_n_trc","hh_tot_n_trc","noinc_15up_trc","per_cap_inc_trc","per_cap_wht_inc_trc","pop_15up_trc","pop_trc","ratio_incpov_trc","yesinc_15up_trc","geoid","wht_prem_p_trc","palma"
"86","41005023202","Census Tract 232.02","Clackamas County",63801,97540,133938,26463,225191,349064,4072,0.366,497,2618,881,35802,37563,6575,8235,2033,5694,41005023202,1.04918719624602,7.73429052556944
"87","41005023300","Census Tract 233","Clackamas County",59044,95563,132154,26167,255255,463733,2531,0.4067,436,1850,457,40941,42956,4446,5266,934,3989,41005023300,1.04921716616595,10.8843459177806
"88","41005023401","Census Tract 234.01","Clackamas County",40648,69880,106583,17820,199995,311721,2266,0.4234,581,1804,570,31486,32037,4252,5087,970,3682,41005023401,1.01749984119926,10.6629609358966
"89","41005023403","Census Tract 234.03","Clackamas County",45945,65368,91310,22416,176738,274913,2885,0.3783,335,1973,339,28529,29897,4220,5643,1577,3881,41005023403,1.0479512075432,8.04297772121531
"90","41005023404","Census Tract 234.04","Clackamas County",40265,65042,86859,16503,155358,248387,2904,0.3826,770,2332,401,28975,29092,4879,5970,1373,4478,41005023404,1.00403796376186,8.75095124013529
"91","41005023500","Census Tract 235","Clackamas County",46698,73806,110691,19665,169998,230004,3045,0.3671,457,2052,566,30647,30848,5062,5791,928,4496,41005023500,1.00655855385519,6.93169386555762
"92","41005023600","Census Tract 236","Clackamas County",46364,78034,111215,19907,169331,237415,1585,0.3639,473,1414,324,33696,35152,3079,3633,645,2755,41005023600,1.04320987654321,7.16497412141057
"93","41005023700","Census Tract 237","Clackamas County",46596,82858,122156,17098,206669,301207,2229,0.4071,526,1773,688,33072,34982,4335,5250,1130,3647,41005023700,1.05775278180939,9.457939523346
"94","41005023800","Census Tract 238","Clackamas County",48307,77513,105782,22915,192682,276724,3126,0.3779,695,2296,519,33088,33481,5538,6393,1039,5019,41005023800,1.01187741779497,7.77074499452416
"95","41005023901","Census Tract 239.01","Clackamas County",51455,77440,104122,21245,152731,188095,2732,0.3273,324,1855,447,28518,29890,4091,5422,1495,3644,41005023901,1.04810996563574,5.17455295735901
"96","41005023902","Census Tract 239.02","Clackamas County",31595,52083,74475,13225,153130,243168,2334,0.4265,488,1892,686,22857,24105,4122,5525,1533,3436,41005023902,1.05460034125213,10.8508701472557
"97","41005024000","Census Tract 240","Clackamas County",48713,66568,93246,23485,185292,263009,1077,0.376,304,966,231,31904,31904,2108,2554,495,1877,41005024000,1,7.28576968891105
"98","41005024100","Census Tract 241","Clackamas County",44555,71493,111147,19649,197827,295362,2227,0.4051,502,1787,588,31797,31898,4248,5116,1092,3660,41005024100,1.00317640028934,9.20073515668806
"99","41005024200","Census Tract 242","Clackamas County",44920,64891,100541,18828,213804,430348,2806,0.4438,737,2409,662,34345,35012,5243,6409,1220,4581,41005024200,1.01942058523803,13.5015373031311
"100","41005024302","Census Tract 243.02","Clackamas County",45857,77644,105680,17548,174982,244186,2397,0.376,671,1959,396,32848,33113,4341,5103,820,3945,41005024302,1.00806746225037,7.70242094472045
"101","41005024303","Census Tract 243.03","Clackamas County",41121,62103,88590,18392,138645,203265,1188,0.3521,483,1164,146,28734,28528,2446,2880,509,2300,41005024303,0.99283079278903,6.83094449952111
"102","41005024304","Census Tract 243.04","Clackamas County",40691,75673,109609,9273,174467,232864,1080,0.4104,328,984,163,36312,35781,1977,2275,355,1814,41005024304,0.985376734963648,9.32127131534705
"103","41005024400","Census Tract 244","Clackamas County",47697,67159,102064,23013,235633,447771,4489,0.4419,525,3275,662,39399,44501,6321,7715,1573,5659,41005024400,1.129495672479,12.6649978786593
"104","41005980000","Census Tract 9800","Clackamas County",NA,NA,NA,NA,NA,NA,43,0.1109,0,22,10,31127,18667,75,75,0,65,41005980000,0.599704436662704,NA
"105","41007950100","Census Tract 9501","Clatsop County",30478,49445,78844,12125,147346,207493,1571,0.4258,433,1441,240,28199,30196,2680,3367,745,2440,41007950100,1.07081811411752,9.74076942938291
"106","41007950200","Census Tract 9502","Clatsop County",31149,46750,71516,14421,159283,282041,1793,0.4436,624,1831,172,33978,35165,3251,3591,428,3079,41007950200,1.03493436929778,12.3783629580865
"107","41007950300","Census Tract 9503","Clatsop County",29395,43629,64864,13646,126980,173153,1264,0.3998,533,1273,171,24213,24916,2557,2985,459,2386,41007950300,1.02903399000537,8.04595618131549
"108","41007950400","Census Tract 9504","Clatsop County",47080,73304,104074,22162,152743,234644,1651,0.3409,414,1421,218,29976,30767,3088,3849,850,2870,41007950400,1.02638777688818,6.77750498252506
"109","41007950500","Census Tract 9505","Clatsop County",37336,58108,87235,17310,144661,195924,2360,0.3752,439,1854,323,27927,28774,3774,4675,1061,3451,41007950500,1.03032907222401,7.17066207956667
"110","41007950600","Census Tract 9506","Clatsop County",41840,62410,92968,22362,156801,241061,1360,0.3655,354,1120,369,25618,26643,2746,3366,788,2377,41007950600,1.04001092981497,7.50945453412666
"111","41007950700","Census Tract 9507","Clatsop County",32679,57326,94471,14072,166188,259810,902,0.43,329,883,131,32415,33151,1724,2048,389,1593,41007950700,1.02270553755977,11.1146285640949
