school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,frl
2014-2015,41,OREGON,EAGLE CAP Innovative HS,00000000001894,4101710,00000000000000003493,410171001516,24
2014-2015,41,OREGON,Baker Web Academy,00000000001894,4101710,00000000000000004728,410171001767,-1
2014-2015,41,OREGON,Baker Early College,00000000001894,4101710,00000000000000004759,410171001783,-1
2014-2015,41,OREGON,Burnt River School,00000000001896,4101740,00000000000000003347,410174000013,15
2014-2015,41,OREGON,Harbor Lights Middle School,00000000001969,4101800,00000000000000000216,410180000235,182
2014-2015,41,OREGON,Ocean Crest Elementary School,00000000001969,4101800,00000000000000000217,410180000236,152
2014-2015,41,OREGON,Bandon Senior High School,00000000001969,4101800,00000000000000000218,410180000237,169
2014-2015,41,OREGON,Banks Elementary School,00000000002240,4101830,00000000000000001120,410183001176,159
2014-2015,41,OREGON,Banks Middle School,00000000002240,4101830,00000000000000001123,410183001179,108
2014-2015,41,OREGON,Banks High School,00000000002240,4101830,00000000000000001124,410183001180,104
2014-2015,41,OREGON,Nancy Ryles Elementary School,00000000002243,4101920,00000000000000001303,410192000210,131
2014-2015,41,OREGON,Arts and Communication Magnet Academy,00000000002243,4101920,00000000000000001304,410192000213,159
2014-2015,41,OREGON,Community School,00000000002243,4101920,00000000000000001305,410192000220,-1
2014-2015,41,OREGON,School of Science & Technology,00000000002243,4101920,00000000000000001314,410192000536,-1
2014-2015,41,OREGON,Conestoga Middle School,00000000002243,4101920,00000000000000001319,410192000552,309
2014-2015,41,OREGON,Westview High School,00000000002243,4101920,00000000000000001320,410192000554,731
2014-2015,41,OREGON,Aloha-Huber Park School,00000000002243,4101920,00000000000000001153,410192001204,811
2014-2015,41,OREGON,Barnes Elementary School,00000000002243,4101920,00000000000000001154,410192001205,523
2014-2015,41,OREGON,Beaver Acres Elementary School,00000000002243,4101920,00000000000000001155,410192001206,470
2014-2015,41,OREGON,Bethany Elementary School,00000000002243,4101920,00000000000000001156,410192001207,72
2014-2015,41,OREGON,Cedar Mill Elementary School,00000000002243,4101920,00000000000000001158,410192001210,40
2014-2015,41,OREGON,Chehalem Elementary School,00000000002243,4101920,00000000000000001159,410192001211,301
2014-2015,41,OREGON,Cooper Mountain Elementary School,00000000002243,4101920,00000000000000001160,410192001212,84
2014-2015,41,OREGON,Fir Grove Elementary School,00000000002243,4101920,00000000000000001163,410192001213,274
2014-2015,41,OREGON,Hazeldale Elementary School,00000000002243,4101920,00000000000000001164,410192001215,229
2014-2015,41,OREGON,Hiteon Elementary School,00000000002243,4101920,00000000000000001165,410192001216,193
2014-2015,41,OREGON,Kinnaman Elementary School,00000000002243,4101920,00000000000000001166,410192001217,490
2014-2015,41,OREGON,McKay Elementary School,00000000002243,4101920,00000000000000001168,410192001219,212
2014-2015,41,OREGON,McKinley Elementary School,00000000002243,4101920,00000000000000001169,410192001220,398
2014-2015,41,OREGON,Montclair Elementary School,00000000002243,4101920,00000000000000001170,410192001222,106
2014-2015,41,OREGON,Oak Hills Elementary School,00000000002243,4101920,00000000000000001171,410192001223,96
2014-2015,41,OREGON,Raleigh Hills Elementary School,00000000002243,4101920,00000000000000001172,410192001224,235
2014-2015,41,OREGON,Raleigh Park Elementary School,00000000002243,4101920,00000000000000001173,410192001225,155
2014-2015,41,OREGON,Ridgewood Elementary School,00000000002243,4101920,00000000000000001174,410192001226,85
2014-2015,41,OREGON,Rock Creek Elementary School,00000000002243,4101920,00000000000000001175,410192001227,128
2014-2015,41,OREGON,Terra Linda Elementary School,00000000002243,4101920,00000000000000001176,410192001229,147
