school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,teachers
2014-2015,41,OREGON,Beaverton High School,00000000002243,4101920,00000000000000001187,410192001240,81.73
2014-2015,41,OREGON,Sunset High School,00000000002243,4101920,00000000000000001188,410192001241,91.30
2014-2015,41,OREGON,Findley Elementary,00000000002243,4101920,00000000000000001370,410192001262,37.43
2014-2015,41,OREGON,Greenway Elementary School,00000000002243,4101920,00000000000000001157,410192001289,25.00
2014-2015,41,OREGON,Errol Hassell Elementary School,00000000002243,4101920,00000000000000001161,410192001301,26.19
2014-2015,41,OREGON,Elmonica Elementary School,00000000002243,4101920,00000000000000001162,410192001321,29.39
2014-2015,41,OREGON,Sexton Mountain Elementary School,00000000002243,4101920,00000000000000001270,410192001348,23.47
2014-2015,41,OREGON,Scholls Heights Elementary School,00000000002243,4101920,00000000000000002781,410192001430,24.32
2014-2015,41,OREGON,Stoller Middle School,00000000002243,4101920,00000000000000002782,410192001431,57.87
2014-2015,41,OREGON,Southridge High School,00000000002243,4101920,00000000000000002783,410192001432,74.69
2014-2015,41,OREGON,Jacob Wismer Elementary School,00000000002243,4101920,00000000000000003437,410192001445,34.01
2014-2015,41,OREGON,International School of Beaverton,00000000002243,4101920,00000000000000004474,410192001647,35.17
2014-2015,41,OREGON,Health & Science School,00000000002243,4101920,00000000000000004638,410192001745,32.58
2014-2015,41,OREGON,Bonny Slope Elementary School,00000000002243,4101920,00000000000000004671,410192001753,32.64
2014-2015,41,OREGON,Springville K-8 School,00000000002243,4101920,00000000000000004712,410192001779,39.81
2014-2015,41,OREGON,Arco Iris Spanish Immersion School,00000000002243,4101920,00000000000000004805,410192001791,14.00
2014-2015,41,OREGON,Hope Chinese Charter School,00000000002243,4101920,00000000000000004867,410192001823,6.07
2014-2015,41,OREGON,Elk Meadow Elementary School,00000000001976,4101980,00000000000000001308,410198000245,25.80
2014-2015,41,OREGON,Bear Creek Elementary School,00000000001976,4101980,00000000000000000241,410198000258,40.87
2014-2015,41,OREGON,Cascade Middle School,00000000001976,4101980,00000000000000000242,410198000259,37.02
2014-2015,41,OREGON,LaPine Elementary School,00000000001976,4101980,00000000000000000245,410198000262,22.80
2014-2015,41,OREGON,High Desert Middle School,00000000001976,4101980,00000000000000001309,410198000263,35.79
2014-2015,41,OREGON,LaPine Middle School,00000000001976,4101980,00000000000000001310,410198000264,13.29
2014-2015,41,OREGON,Juniper Elementary School,00000000001976,4101980,00000000000000000246,410198000265,30.00
2014-2015,41,OREGON,R E Jewell Elementary School,00000000001976,4101980,00000000000000000247,410198000266,31.50
2014-2015,41,OREGON,Pilot Butte Middle School,00000000001976,4101980,00000000000000000249,410198000268,31.81
2014-2015,41,OREGON,Bend Senior High School,00000000001976,4101980,00000000000000000251,410198000270,67.27
2014-2015,41,OREGON,Mountain View Senior High School,00000000001976,4101980,00000000000000000252,410198000271,50.96
2014-2015,41,OREGON,LaPine Senior High School,00000000001976,4101980,00000000000000000253,410198000272,18.03
2014-2015,41,OREGON,Lava Ridge Elementary School,00000000001976,4101980,00000000000000001317,410198000546,30.30
2014-2015,41,OREGON,Amity Creek Elementary School,00000000001976,4101980,00000000000000001324,410198000607,8.00
2014-2015,41,OREGON,Marshall High School,00000000001976,4101980,00000000000000001338,410198000688,9.62
2014-2015,41,OREGON,Buckingham Elementary School,00000000001976,4101980,00000000000000000250,410198001290,25.76
2014-2015,41,OREGON,Three Rivers Elementary School,00000000001976,4101980,00000000000000001266,410198001350,18.53
2014-2015,41,OREGON,REALMS (Rimrock Expeditionary Alternative Learning Middle Sc,00000000001976,4101980,00000000000000003448,410198001436,7.82
2014-2015,41,OREGON,Highland School at Kenwood Elementary School,00000000001976,4101980,00000000000000003219,410198001438,16.50
2014-2015,41,OREGON,Summit High School,00000000001976,4101980,00000000000000003216,410198001451,55.49
2014-2015,41,OREGON,Westside Village Magnet School at Kingston Elementary School,00000000001976,4101980,00000000000000003221,410198001454,12.86
2014-2015,41,OREGON,High Lakes Elementary School,00000000001976,4101980,00000000000000003218,410198001487,28.08
2014-2015,41,OREGON,Sky View Middle School,00000000001976,4101980,00000000000000003217,410198001488,34.05
2014-2015,41,OREGON,Pine Ridge Elementary,00000000001976,4101980,00000000000000003947,410198001576,31.50
2014-2015,41,OREGON,Ensworth Elementary School,00000000001976,4101980,00000000000000004129,410198001603,13.35
2014-2015,41,OREGON,Ponderosa Elementary,00000000001976,4101980,00000000000000004646,410198001747,28.00
2014-2015,41,OREGON,William E Miller Elementary,00000000001976,4101980,00000000000000004680,410198001758,28.27
2014-2015,41,OREGON,Rosland Elementary,00000000001976,4101980,00000000000000004793,410198001794,10.83
2014-2015,41,OREGON,Clear Lake Elementary School,00000000002088,4102040,00000000000000000582,410204000616,12.65
2014-2015,41,OREGON,Danebo Elementary School,00000000002088,4102040,00000000000000000583,410204000617,17.18
2014-2015,41,OREGON,Fairfield Elementary School,00000000002088,4102040,00000000000000000584,410204000618,13.78
2014-2015,41,OREGON,Irving Elementary School,00000000002088,4102040,00000000000000000585,410204000619,15.13
2014-2015,41,OREGON,Malabon Elementary School,00000000002088,4102040,00000000000000000586,410204000620,14.70
