school_year,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,ncessch,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered
2014-2015,41,OREGON,Oak Grove Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000639,410112000017,Open,Regular School,No,No,N
2014-2015,41,OREGON,North Albany Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000637,410112000029,Open,Regular School,No,No,N
2014-2015,41,OREGON,Central Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000631,410112000669,Open,Regular School,No,No,N
2014-2015,41,OREGON,Lafayette Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000640,410112000670,Open,Regular School,No,No,N
2014-2015,41,OREGON,Liberty Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000641,410112000671,Open,Regular School,No,No,N
2014-2015,41,OREGON,Oak Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000643,410112000672,Open,Regular School,No,No,N
2014-2015,41,OREGON,Sunrise Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000644,410112000673,Open,Regular School,No,No,N
2014-2015,41,OREGON,South Shore Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000645,410112000674,Open,Regular School,No,No,N
2014-2015,41,OREGON,Takena Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000647,410112000675,Open,Regular School,No,No,N
2014-2015,41,OREGON,Waverly Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000648,410112000676,Open,Regular School,No,No,N
2014-2015,41,OREGON,Periwinkle Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000636,410112000680,Open,Regular School,No,No,N
2014-2015,41,OREGON,Tangent Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000646,410112000692,Open,Regular School,No,No,N
2014-2015,41,OREGON,Clover Ridge Elementary School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000633,410112000725,Open,Regular School,No,No,N
2014-2015,41,OREGON,Calapooia Middle School,Greater Albany Public SD 8J,00000000002100,4101120,00000000000000000632,410112000732,Open,Regular School,No,No,N
